id,name,platform,genre,publisher,developer,rating,year,critic_score,critic_count,user_score
25,Grand Theft Auto: Vice City,PS2,Action,Take-Two Interactive,Rockstar North,M,0.588235294117645,0.9387755102040817,0.5142857142857142,0.8970588235294115
26,Pokemon Ruby/Pokemon Sapphire,GBA,Role-Playing,Nintendo,,,0.588235294117645,0.7959183673469387,0.4761904761904762,0.7941176470588234
27,Brain Age 2: More Training in Minutes a Day,DS,Puzzle,Nintendo,Nintendo,E,0.6764705882352899,0.5714285714285715,0.2761904761904762,0.6617647058823528
28,Pokemon Black/Pokemon White,DS,Role-Playing,Nintendo,,,0.823529411764703,0.7959183673469387,0.4761904761904762,0.7941176470588234
29,Gran Turismo 3: A-Spec,PS2,Racing,Sony Computer Entertainment,Polyphony Digital,E,0.5588235294117609,0.9387755102040817,0.43809523809523815,0.8529411764705881
30,Call of Duty: Modern Warfare 3,X360,Shooter,Activision,Infinity Ward,M,0.852941176470587,0.7959183673469387,0.6952380952380952,0.11764705882352933
31,Pokemon Yellow: Special Pikachu Edition,GB,Role-Playing,Nintendo,,,0.470588235294116,0.7959183673469387,0.4761904761904762,0.7941176470588234
32,Call of Duty: Black Ops 3,PS4,Shooter,Activision,,,0.970588235294116,0.7959183673469387,0.4761904761904762,0.7941176470588234
33,Call of Duty: Black Ops,X360,Shooter,Activision,Treyarch,M,0.823529411764703,0.7755102040816325,0.7714285714285716,0.5441176470588234
34,Pokemon X/Pokemon Y,3DS,Role-Playing,Nintendo,,,0.9117647058823479,0.7959183673469387,0.4761904761904762,0.7941176470588234
35,Call of Duty: Black Ops II,PS3,Shooter,Activision,Treyarch,M,0.8823529411764639,0.6938775510204082,0.12380952380952381,0.3970588235294117
36,Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch,M,0.8823529411764639,0.6938775510204082,0.6190476190476191,0.32352941176470573
37,Call of Duty: Modern Warfare 2,X360,Shooter,Activision,Infinity Ward,M,0.7941176470588189,0.9183673469387755,0.8761904761904762,0.5441176470588234
38,Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,Infinity Ward,M,0.852941176470587,0.7959183673469387,0.29523809523809524,0.08823529411764702
39,Grand Theft Auto III,PS2,Action,Take-Two Interactive,DMA Design,M,0.5588235294117609,0.9795918367346937,0.45714285714285724,0.8676470588235292
40,Super Smash Bros. Brawl,Wii,Fighting,Nintendo,Game Arts,T,0.7647058823529349,0.8979591836734694,0.6952380952380952,0.9264705882352939
41,Mario Kart 7,3DS,Racing,Nintendo,Retro Studios,E,0.852941176470587,0.7346938775510204,0.6190476190476191,0.8235294117647056
42,Call of Duty: Black Ops,PS3,Shooter,Activision,Treyarch,M,0.823529411764703,0.7959183673469387,0.4761904761904762,0.5588235294117646
43,Grand Theft Auto V,PS4,Action,Take-Two Interactive,Rockstar North,M,0.941176470588232,0.9795918367346937,0.5523809523809524,0.838235294117647
44,Animal Crossing: Wild World,DS,Simulation,Nintendo,Nintendo,E,0.6764705882352899,0.7551020408163266,0.46666666666666673,0.8970588235294115
45,Halo 3,X360,Shooter,Microsoft Game Studios,Bungie Software,M,0.735294117647058,0.9183673469387755,0.7428571428571429,0.7647058823529409
46,Super Mario 64,N64,Platform,Nintendo,,,0.4117647058823479,0.7959183673469387,0.4761904761904762,0.7941176470588234
47,Pokemon HeartGold/Pokemon SoulSilver,DS,Action,Nintendo,,,0.7941176470588189,0.7959183673469387,0.4761904761904762,0.7941176470588234
48,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,Nintendo,,,0.941176470588232,0.7959183673469387,0.4761904761904762,0.7941176470588234
49,Gran Turismo 4,PS2,Racing,Sony Computer Entertainment,Polyphony Digital,E,0.6470588235294059,0.8163265306122448,0.6285714285714286,0.8676470588235292
50,Super Mario Galaxy,Wii,Platform,Nintendo,Nintendo,E,0.735294117647058,0.9795918367346937,0.6190476190476191,0.9264705882352939
51,Super Mario Land 2: 6 Golden Coins,GB,Adventure,Nintendo,,,0.29411764705881893,0.7959183673469387,0.4761904761904762,0.7941176470588234
52,Grand Theft Auto IV,X360,Action,Take-Two Interactive,Rockstar North,M,0.7647058823529349,0.9999999999999999,0.7428571428571429,0.7794117647058822
53,Gran Turismo,PS,Racing,Sony Computer Entertainment,Polyphony Digital,E,0.44117647058823195,0.9591836734693878,0.0761904761904762,0.8970588235294115
54,Super Mario 3D Land,3DS,Platform,Nintendo,Nintendo,E,0.852941176470587,0.836734693877551,0.7047619047619049,0.8529411764705881
55,Gran Turismo 5,PS3,Racing,Sony Computer Entertainment,Polyphony Digital,E,0.823529411764703,0.7142857142857143,0.7047619047619049,0.7205882352941175
56,Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,Infinity Ward,M,0.7941176470588189,0.9183673469387755,0.5619047619047619,0.5441176470588234
57,Super Mario All-Stars,SNES,Platform,Nintendo,,,0.32352941176470296,0.7959183673469387,0.4761904761904762,0.7941176470588234
58,Grand Theft Auto IV,PS3,Action,Take-Two Interactive,Rockstar North,M,0.7647058823529349,0.9999999999999999,0.5333333333333334,0.7205882352941175
59,Pokemon FireRed/Pokemon LeafGreen,GBA,Role-Playing,Nintendo,,,0.6470588235294059,0.7959183673469387,0.4761904761904762,0.7941176470588234
60,Super Mario 64,DS,Platform,Nintendo,,,0.6470588235294059,0.7959183673469387,0.4761904761904762,0.7941176470588234
61,Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward,M,0.9117647058823479,0.4897959183673469,0.2,0.0
62,Just Dance 3,Wii,Misc,Ubisoft,Ubisoft,E10+,0.852941176470587,0.5102040816326531,0.06666666666666668,0.7647058823529409
63,New Super Mario Bros. 2,3DS,Platform,Nintendo,Nintendo,E,0.8823529411764639,0.5918367346938774,0.5904761904761906,0.6764705882352939
64,Mario Kart 64,N64,Racing,Nintendo,,,0.4117647058823479,0.7959183673469387,0.4761904761904762,0.7941176470588234
65,Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie,M,0.823529411764703,0.8571428571428571,0.8666666666666667,0.7794117647058822
66,Final Fantasy VII,PS,Role-Playing,Sony Computer Entertainment,SquareSoft,T,0.44117647058823195,0.8775510204081632,0.1142857142857143,0.9705882352941173
67,Halo 4,X360,Shooter,Microsoft Game Studios,343 Industries,M,0.8823529411764639,0.7755102040816325,0.7523809523809524,0.6470588235294117
68,Gran Turismo 2,PS,Racing,Sony Computer Entertainment,Polyphony Digital,T,0.5,0.8979591836734694,0.14285714285714288,0.9411764705882351
69,Just Dance 2,Wii,Misc,Ubisoft,Ubisoft,E10+,0.823529411764703,0.5102040816326531,0.1523809523809524,0.6911764705882351
70,Call of Duty: Ghosts,PS3,Shooter,Activision,Infinity Ward,M,0.9117647058823479,0.44897959183673464,0.01904761904761905,0.0
71,Call of Duty 4: Modern Warfare,X360,Shooter,Activision,Infinity Ward,M,0.735294117647058,0.9183673469387755,0.5904761904761906,0.8529411764705881
72,Donkey Kong Country,SNES,Platform,Nintendo,,,0.352941176470587,0.7959183673469387,0.4761904761904762,0.7941176470588234
73,Minecraft,X360,Misc,Microsoft Game Studios,,,0.9117647058823479,0.7959183673469387,0.4761904761904762,0.7941176470588234
74,Animal Crossing: New Leaf,3DS,Simulation,Nintendo,Nintendo,E,0.8823529411764639,0.7959183673469387,0.5904761904761906,0.8970588235294115
75,Mario Party DS,DS,Misc,Nintendo,Hudson Soft,E,0.735294117647058,0.4693877551020408,0.18095238095238098,0.7647058823529409
76,The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M,0.852941176470587,0.9591836734693878,0.7714285714285716,0.8529411764705881
77,Super Mario Kart,SNES,Racing,Nintendo,,,0.29411764705881893,0.7959183673469387,0.4761904761904762,0.7941176470588234
78,FIFA 16,PS4,Sports,Electronic Arts,EA Sports,E,0.970588235294116,0.673469387755102,0.3238095238095238,0.2499999999999999
79,Halo 2,XB,Shooter,Microsoft Game Studios,Bungie Software,M,0.6470588235294059,0.9387755102040817,0.7904761904761906,0.8235294117647056
80,Wii Party,Wii,Misc,Nintendo,Nd Cube,E,0.823529411764703,0.3877551020408164,0.3238095238095238,0.7058823529411764
81,Mario Party 8,Wii,Misc,Nintendo,Hudson,E,0.735294117647058,0.26530612244897955,0.31428571428571433,0.5441176470588234
82,FIFA Soccer 13,PS3,Action,Electronic Arts,Electronic Arts,E,0.8823529411764639,0.7959183673469387,0.2761904761904762,0.5882352941176469
83,GoldenEye 007,N64,Shooter,Nintendo,,,0.44117647058823195,0.7959183673469387,0.4761904761904762,0.7941176470588234
84,Pokemon Black 2/Pokemon White 2,DS,Role-Playing,Nintendo,,,0.8823529411764639,0.7959183673469387,0.4761904761904762,0.7941176470588234
85,Final Fantasy X,PS2,Role-Playing,Sony Computer Entertainment,SquareSoft,T,0.5588235294117609,0.8775510204081632,0.42857142857142866,0.8970588235294115
86,The Sims 3,PC,Simulation,Electronic Arts,The Sims Studio,T,0.7941176470588189,0.7551020408163266,0.638095238095238,0.7352941176470587
87,Mario & Sonic at the Olympic Games,Wii,Sports,Sega,,,0.735294117647058,0.7959183673469387,0.4761904761904762,0.7941176470588234
88,Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,,,0.970588235294116,0.7959183673469387,0.4761904761904762,0.7941176470588234
89,Final Fantasy VIII,PS,Role-Playing,SquareSoft,SquareSoft,T,0.5,0.836734693877551,0.1523809523809524,0.8823529411764703
90,Pac-Man,2600,Puzzle,Atari,,,0.0,0.7959183673469387,0.4761904761904762,0.7941176470588234
91,Pokemon Platinum Version,DS,Role-Playing,Nintendo,Game Freak,E,0.7647058823529349,0.6938775510204082,0.36190476190476195,0.8676470588235292
92,Grand Theft Auto: Liberty City Stories,PSP,Action,Take-Two Interactive,Rockstar Leeds,M,0.6764705882352899,0.7959183673469387,0.5428571428571429,0.7352941176470587
93,Call of Duty: Advanced Warfare,PS4,Shooter,Activision,Sledgehammer Games,M,0.941176470588232,0.6938775510204082,0.29523809523809524,0.4558823529411764
94,The Legend of Zelda: Ocarina of Time,N64,Action,Nintendo,,,0.470588235294116,0.7959183673469387,0.4761904761904762,0.7941176470588234
95,FIFA 17,PS4,Sports,Electronic Arts,EA Sports,E,1.0,0.7346938775510204,0.31428571428571433,0.3529411764705881
96,Crash Bandicoot 2: Cortex Strikes Back,PS,Platform,Sony Computer Entertainment,,,0.44117647058823195,0.7959183673469387,0.4761904761904762,0.7941176470588234
97,Super Smash Bros. for Wii U and 3DS,3DS,Fighting,Nintendo,,,0.941176470588232,0.7959183673469387,0.4761904761904762,0.7941176470588234
98,Super Mario Galaxy 2,Wii,Platform,Nintendo,Nintendo EAD Tokyo,E,0.823529411764703,0.9795918367346937,0.7523809523809524,0.9558823529411762
99,Super Mario Bros. 2,NES,Platform,Nintendo,,,0.17647058823528994,0.7959183673469387,0.4761904761904762,0.7941176470588234
100,Call of Duty: Black Ops 3,XOne,Shooter,Activision,,,0.970588235294116,0.7959183673469387,0.4761904761904762,0.7941176470588234
101,Call of Duty: World at War,X360,Shooter,Activision,Treyarch,M,0.7647058823529349,0.7142857142857143,0.7238095238095239,0.7352941176470587
102,Battlefield 3,X360,Shooter,Electronic Arts,EA DICE,M,0.852941176470587,0.7142857142857143,0.46666666666666673,0.7058823529411764
103,Need for Speed Underground,PS2,Racing,Electronic Arts,EA Black Box,E,0.617647058823529,0.7346938775510204,0.23809523809523814,0.8823529411764703
104,Just Dance,Wii,Misc,Ubisoft,Ubisoft Paris,E10+,0.7941176470588189,0.0,0.12380952380952381,0.7941176470588234
105,Battlefield 3,PS3,Shooter,Electronic Arts,EA DICE,M,0.852941176470587,0.7346938775510204,0.28571428571428575,0.7205882352941175
106,Fallout 4,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M,0.970588235294116,0.7755102040816325,0.4761904761904762,0.5735294117647057
107,Tekken 3,PS,Fighting,Sony Computer Entertainment,Namco,T,0.470588235294116,0.9591836734693878,0.06666666666666668,0.9558823529411762
108,The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,Nintendo,T,0.705882352941174,0.9387755102040817,0.6190476190476191,0.9411764705882351
109,Pokemon Sun/Moon,3DS,Role-Playing,Nintendo,,,1.0,0.7959183673469387,0.4761904761904762,0.7941176470588234
110,Crash Bandicoot 3: Warped,PS,Platform,Sony Computer Entertainment,Naughty Dog,E,0.470588235294116,0.8571428571428571,0.0380952380952381,0.9264705882352939
111,Mario Kart 8,WiiU,Racing,Nintendo,Nintendo,E,0.941176470588232,0.7959183673469387,0.7047619047619049,0.9558823529411762
112,Super Smash Bros. Melee,GC,Fighting,Nintendo,HAL Labs,T,0.5588235294117609,0.8775510204081632,0.28571428571428575,0.9558823529411762
113,Mario Kart: Double Dash!!,GC,Racing,Nintendo,,,0.617647058823529,0.7959183673469387,0.4761904761904762,0.7941176470588234
114,Need for Speed Underground 2,PS2,Racing,Electronic Arts,EA Canada,E,0.6470588235294059,0.673469387755102,0.29523809523809524,0.8823529411764703
115,Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,EA LA,T,0.588235294117645,0.7959183673469387,0.2,0.8676470588235292
116,Crash Bandicoot,PS,Platform,Sony Computer Entertainment,,,0.4117647058823479,0.7959183673469387,0.4761904761904762,0.7941176470588234
117,Just Dance 4,Wii,Misc,Ubisoft,Ubisoft,E10+,0.8823529411764639,0.5102040816326531,0.01904761904761905,0.6911764705882351
118,Gears of War 2,X360,Shooter,Microsoft Game Studios,Epic Games,M,0.7647058823529349,0.8979591836734694,0.7809523809523811,0.7499999999999998
119,Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,Naughty Dog,T,0.852941176470587,0.8775510204081632,0.8476190476190477,0.838235294117647
120,Zumba Fitness,Wii,Sports,505 Games,Pipeworks Software,E,0.823529411764703,0.7959183673469387,0.4761904761904762,0.7941176470588234
121,Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,Infinity Ward,M,0.735294117647058,0.9183673469387755,0.3428571428571429,0.8529411764705881
122,Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,T,0.7941176470588189,0.9591836734693878,0.9238095238095239,0.9117647058823528
123,FIFA 12,PS3,Sports,Electronic Arts,,,0.852941176470587,0.7959183673469387,0.4761904761904762,0.7941176470588234
124,Big Brain Academy,DS,Misc,Nintendo,Nintendo,E,0.6764705882352899,0.5102040816326531,0.3523809523809524,0.7058823529411764
125,The Legend of Zelda,NES,Action,Nintendo,,,0.117647058823529,0.7959183673469387,0.4761904761904762,0.7941176470588234
126,Red Dead Redemption,PS3,Action,Take-Two Interactive,Rockstar San Diego,M,0.823529411764703,0.9387755102040817,0.6190476190476191,0.9117647058823528
127,FIFA 14,PS3,Sports,Electronic Arts,EA Canada,E,0.9117647058823479,0.7551020408163266,0.2761904761904762,0.2499999999999999
128,Assassin's Creed III,PS3,Action,Ubisoft,Ubisoft,M,0.8823529411764639,0.7346938775510204,0.31428571428571433,0.6323529411764706
129,Donkey Kong Country Returns,Wii,Platform,Nintendo,Retro Studios,E,0.823529411764703,0.7755102040816325,0.6571428571428573,0.8823529411764703
130,Halo: Combat Evolved,XB,Shooter,Microsoft Game Studios,Bungie Software,M,0.5588235294117609,0.9795918367346937,0.5714285714285714,0.8823529411764703
131,The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M,0.852941176470587,0.8775510204081632,0.0761904761904762,0.5588235294117646
132,Pokemon Emerald Version,GBA,Role-Playing,Nintendo,Game Freak,E,0.6470588235294059,0.5510204081632654,0.19047619047619052,0.9411764705882351
133,Kingdom Hearts,PS2,Role-Playing,Sony Computer Entertainment,SquareSoft,E,0.588235294117645,0.7346938775510204,0.36190476190476195,0.9117647058823528
134,Pokemon Crystal Version,GB,Role-Playing,Nintendo,,,0.5294117647058769,0.7959183673469387,0.4761904761904762,0.7941176470588234
135,Halo 3: ODST,X360,Shooter,Microsoft Game Studios,Bungie Software,M,0.7941176470588189,0.6938775510204082,0.819047619047619,0.6617647058823528
136,Red Dead Redemption,X360,Action,Take-Two Interactive,Rockstar San Diego,M,0.823529411764703,0.9387755102040817,0.8380952380952382,0.9411764705882351
137,Super Mario Sunshine,GC,Platform,Nintendo,Nintendo,E,0.588235294117645,0.8775510204081632,0.5047619047619047,0.8823529411764703
138,Street Fighter II: The World Warrior,SNES,Fighting,Capcom,,,0.29411764705881893,0.7959183673469387,0.4761904761904762,0.7941176470588234
139,World of Warcraft,PC,Role-Playing,Activision,Blizzard Entertainment,T,0.6470588235294059,0.8979591836734694,0.46666666666666673,0.6911764705882351
140,Driver,PS,Action,GT Interactive,Reflections Interactive,T,0.5,0.7755102040816325,0.13333333333333336,0.8088235294117645
141,Gears of War 3,X360,Shooter,Microsoft Game Studios,Epic Games,M,0.852941176470587,0.8571428571428571,0.8380952380952382,0.7647058823529409
142,Kinect Sports,X360,Sports,Microsoft Game Studios,Rare Ltd.,E10+,0.823529411764703,0.4897959183673469,0.40952380952380957,0.7058823529411764
143,Gears of War,X360,Shooter,Microsoft Game Studios,Epic Games,M,0.705882352941174,0.9183673469387755,0.7619047619047621,0.838235294117647
144,FIFA 15,PS4,Sports,Electronic Arts,EA Sports,E,0.941176470588232,0.673469387755102,0.37142857142857144,0.4558823529411764
145,Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami Digital Entertainment,KCEJ,M,0.5588235294117609,0.9591836734693878,0.3238095238095238,0.8970588235294115
146,Sonic the Hedgehog 2,GEN,Platform,Sega,,,0.29411764705881893,0.7959183673469387,0.4761904761904762,0.7941176470588234
147,Metal Gear Solid,PS,Action,Konami Digital Entertainment,KCEJ,M,0.470588235294116,0.9183673469387755,0.1142857142857143,0.9999999999999998
148,Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami Digital Entertainment,Kojima Productions,M,0.7647058823529349,0.9183673469387755,0.7047619047619049,0.8970588235294115
149,Final Fantasy XII,PS2,Role-Playing,Square Enix,Square Enix,T,0.705882352941174,0.8775510204081632,0.5333333333333334,0.7352941176470587
150,The Last of Us,PS3,Action,Sony Computer Entertainment Europe,Naughty Dog,M,0.9117647058823479,0.9387755102040817,0.8571428571428572,0.9558823529411762
151,LittleBigPlanet,PS3,Platform,Sony Computer Entertainment,SCE/WWS,E,0.7647058823529349,0.9387755102040817,0.7333333333333334,0.6176470588235292
152,Resident Evil 2,PS,Action,Virgin Interactive,Capcom,M,0.470588235294116,0.8163265306122448,0.047619047619047616,0.9705882352941173
153,Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,Nintendo,Level 5,E10+,0.7941176470588189,0.7755102040816325,0.5428571428571429,0.9117647058823528
154,Tekken 2,PS,Fighting,Sony Computer Entertainment,Namco,T,0.4117647058823479,0.8163265306122448,0.0,0.9264705882352939
155,Destiny,PS4,Shooter,Activision,Bungie Software,T,0.941176470588232,0.5510204081632654,0.8285714285714287,0.514705882352941
156,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,Traveller's Tales,E10+,0.735294117647058,0.6326530612244897,0.08571428571428572,0.9264705882352939
157,Cooking Mama,DS,Simulation,505 Games,Taito Corporation,E,0.705882352941174,0.3673469387755103,0.2571428571428572,0.6764705882352939
158,Tetris,NES,Puzzle,Nintendo,,,0.17647058823528994,0.7959183673469387,0.4761904761904762,0.7941176470588234
159,Super Smash Bros.,N64,Fighting,Nintendo,,,0.5,0.7959183673469387,0.4761904761904762,0.7941176470588234
160,Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,M,0.7941176470588189,0.8571428571428571,0.5904761904761906,0.8823529411764703
161,Assassin's Creed,X360,Adventure,Ubisoft,Ubisoft Montreal,M,0.735294117647058,0.6530612244897959,0.6571428571428573,0.7499999999999998
162,Forza Motorsport 3,X360,Racing,Microsoft Game Studios,Turn 10,E,0.7941176470588189,0.8775510204081632,0.7809523809523811,0.7941176470588234
163,Super Mario Advance,GBA,Platform,Nintendo,Nintendo,E,0.5588235294117609,0.7142857142857143,0.10476190476190478,0.7647058823529409
164,Monster Hunter Freedom Unite,PSP,Role-Playing,Capcom,Capcom,T,0.7647058823529349,0.6530612244897959,0.380952380952381,0.8970588235294115
165,Batman: Arkham City,PS3,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T,0.852941176470587,0.9591836734693878,0.3238095238095238,0.8823529411764703
166,Grand Theft Auto V,XOne,Action,Take-Two Interactive,Rockstar North,M,0.941176470588232,0.9795918367346937,0.05714285714285716,0.7794117647058822
167,Mario Kart: Super Circuit,GBA,Racing,Nintendo,Intelligent Systems,E,0.5588235294117609,0.8979591836734694,0.1523809523809524,0.838235294117647
168,Super Mario World,GBA,Platform,Nintendo,,,0.5588235294117609,0.7959183673469387,0.4761904761904762,0.7941176470588234
169,Pokemon Stadium,N64,Strategy,Nintendo,,,0.5,0.7959183673469387,0.4761904761904762,0.7941176470588234
170,Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,Traveller's Tales,E,0.5588235294117609,0.34693877551020413,0.13333333333333336,0.6617647058823528
171,Call of Duty: World at War,PS3,Shooter,Activision,Treyarch,M,0.7647058823529349,0.7346938775510204,0.3523809523809524,0.7352941176470587
172,Uncharted 4: A Thief's End,PS4,Shooter,Sony Computer Entertainment,Naughty Dog,T,1.0,0.8979591836734694,1.0000000000000002,0.7794117647058822
173,Dr. Mario,GB,Puzzle,Nintendo,,,0.20588235294117396,0.7959183673469387,0.4761904761904762,0.7941176470588234
174,Final Fantasy XIII,PS3,Role-Playing,Square Enix,Square Enix,T,0.7941176470588189,0.6938775510204082,0.7142857142857144,0.6911764705882351
175,Pokemon Pinball,GB,Misc,Nintendo,,,0.5,0.7959183673469387,0.4761904761904762,0.7941176470588234
176,Final Fantasy IX,PS,Role-Playing,SquareSoft,SquareSoft,T,0.5294117647058769,0.9183673469387755,0.13333333333333336,0.9264705882352939
177,Assassin's Creed III,X360,Action,Ubisoft,Ubisoft,M,0.8823529411764639,0.7142857142857143,0.5047619047619047,0.6029411764705881
178,Final Fantasy X-2,PS2,Role-Playing,Electronic Arts,SquareSoft,T,0.617647058823529,0.7346938775510204,0.3523809523809524,0.5882352941176469
179,Donkey Kong 64,N64,Platform,Nintendo,,,0.5,0.7959183673469387,0.4761904761904762,0.7941176470588234
180,Call of Duty: Advanced Warfare,XOne,Shooter,Activision,Sledgehammer Games,M,0.941176470588232,0.6530612244897959,0.42857142857142866,0.4117647058823529
181,Minecraft,PS3,Misc,Sony Computer Entertainment,,,0.941176470588232,0.7959183673469387,0.4761904761904762,0.7941176470588234
182,Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,M,0.7941176470588189,0.836734693877551,0.7047619047619049,0.9117647058823528
183,Tomb Raider II,PS,Action,Eidos Interactive,Core Design Ltd.,T,0.44117647058823195,0.7346938775510204,0.047619047619047616,0.7941176470588234
184,Madden NFL 2004,PS2,Sports,Electronic Arts,EA Tiburon,E,0.852941176470587,0.9183673469387755,0.2,0.8676470588235292
185,Tomodachi Life,3DS,Simulation,Nintendo,,,0.9117647058823479,0.7959183673469387,0.4761904761904762,0.7941176470588234
186,New Super Mario Bros. U,WiiU,Platform,Nintendo,Nintendo,E,0.8823529411764639,0.7142857142857143,0.5904761904761906,0.8088235294117645
187,Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,Square Enix,Level 5,T,0.6470588235294059,0.8163265306122448,0.523809523809524,0.9117647058823528
188,Super Mario Bros. 3,GBA,Platform,Nintendo,,,0.617647058823529,0.7959183673469387,0.4761904761904762,0.7941176470588234
189,Professor Layton and the Curious Village,DS,Puzzle,Nintendo,Level 5,E,0.735294117647058,0.7346938775510204,0.6095238095238096,0.8823529411764703
190,Super Mario Land 3: Wario Land,GB,Platform,Nintendo,,,0.352941176470587,0.7959183673469387,0.4761904761904762,0.7941176470588234
191,FIFA Soccer 13,X360,Action,Electronic Arts,Electronic Arts,E,0.8823529411764639,0.836734693877551,0.380952380952381,0.514705882352941
192,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Platform,Nintendo,,,0.3823529411764639,0.7959183673469387,0.4761904761904762,0.7941176470588234
193,Diablo III,PC,Role-Playing,Activision,Blizzard Entertainment,M,0.8823529411764639,0.7959183673469387,0.7428571428571429,0.2058823529411764
194,Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,EA LA,T,0.617647058823529,0.3877551020408164,0.20952380952380956,0.7352941176470587
